2024-06-25 16:37:43,483 INFO    StreamThr :718503 [internal.py:wandb_internal():86] W&B internal server running at pid: 718503, started at: 2024-06-25 16:37:43.481820
2024-06-25 16:37:43,486 DEBUG   HandlerThread:718503 [handler.py:handle_request():146] handle_request: status
2024-06-25 16:37:43,486 INFO    WriterThread:718503 [datastore.py:open_for_write():87] open: /home/zxuechen/gaussian-grouping/wandb/run-20240625_163743-30232b8p/run-30232b8p.wandb
2024-06-25 16:37:43,489 DEBUG   SenderThread:718503 [sender.py:send():379] send: header
2024-06-25 16:37:43,507 DEBUG   SenderThread:718503 [sender.py:send():379] send: run
2024-06-25 16:37:43,770 INFO    SenderThread:718503 [dir_watcher.py:__init__():211] watching files in: /home/zxuechen/gaussian-grouping/wandb/run-20240625_163743-30232b8p/files
2024-06-25 16:37:43,770 INFO    SenderThread:718503 [sender.py:_start_run_threads():1124] run started: 30232b8p with start time 1719347863.483435
2024-06-25 16:37:43,776 DEBUG   HandlerThread:718503 [handler.py:handle_request():146] handle_request: check_version
2024-06-25 16:37:43,776 DEBUG   SenderThread:718503 [sender.py:send_request():406] send_request: check_version
2024-06-25 16:37:45,500 DEBUG   HandlerThread:718503 [handler.py:handle_request():146] handle_request: run_start
2024-06-25 16:37:45,521 DEBUG   HandlerThread:718503 [system_info.py:__init__():26] System info init
2024-06-25 16:37:45,522 DEBUG   HandlerThread:718503 [system_info.py:__init__():41] System info init done
2024-06-25 16:37:45,522 INFO    HandlerThread:718503 [system_monitor.py:start():194] Starting system monitor
2024-06-25 16:37:45,522 INFO    SystemMonitor:718503 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-25 16:37:45,522 INFO    HandlerThread:718503 [system_monitor.py:probe():214] Collecting system info
2024-06-25 16:37:45,522 INFO    SystemMonitor:718503 [interfaces.py:start():190] Started cpu monitoring
2024-06-25 16:37:45,523 INFO    SystemMonitor:718503 [interfaces.py:start():190] Started disk monitoring
2024-06-25 16:37:45,524 INFO    SystemMonitor:718503 [interfaces.py:start():190] Started gpu monitoring
2024-06-25 16:37:45,525 INFO    SystemMonitor:718503 [interfaces.py:start():190] Started memory monitoring
2024-06-25 16:37:45,526 INFO    SystemMonitor:718503 [interfaces.py:start():190] Started network monitoring
2024-06-25 16:37:45,558 DEBUG   HandlerThread:718503 [system_info.py:probe():150] Probing system
2024-06-25 16:37:45,568 DEBUG   HandlerThread:718503 [system_info.py:_probe_git():135] Probing git
2024-06-25 16:37:45,590 DEBUG   HandlerThread:718503 [system_info.py:_probe_git():143] Probing git done
